id,crop,category,fact_name,value,unit,value_type,context,source_institution,source_title,source_url,source_locator,source_page_number,source_medium,source_value_text,extraction_method,verification_status,verified_on,current_label_or_local_validation_required,notes
verified_0011,Potato,Fertilizer,TSP,150,kg/ha,fact,Technology-specific table; not universal,Bangladesh Agricultural Research Institute (BARI),Use of water-hyacinth mulch in potato and tomato production,https://baritechnology.org/m/crops/tech_detail/354,"প্রযুক্তির বিবরণ > উৎপাদন প্রযুক্তি / সারের নাম / সার প্রয়োগ পদ্ধতি, আন্তঃপরিচর্যা ও ফলন",,Official institutional webpage with tabular production data,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0012,Potato,Fertilizer,MoP,250,kg/ha,fact,Technology-specific table; not universal,Bangladesh Agricultural Research Institute (BARI),Use of water-hyacinth mulch in potato and tomato production,https://baritechnology.org/m/crops/tech_detail/354,"প্রযুক্তির বিবরণ > উৎপাদন প্রযুক্তি / সারের নাম / সার প্রয়োগ পদ্ধতি, আন্তঃপরিচর্যা ও ফলন",,Official institutional webpage with tabular production data,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0013,Potato,Fertilizer,Gypsum,170,kg/ha,fact,Table label appears inconsistent in source display; verify original document,Bangladesh Agricultural Research Institute (BARI),Use of water-hyacinth mulch in potato and tomato production,https://baritechnology.org/m/crops/tech_detail/354,"প্রযুক্তির বিবরণ > উৎপাদন প্রযুক্তি / সারের নাম / সার প্রয়োগ পদ্ধতি, আন্তঃপরিচর্যা ও ফলন",,Official institutional webpage with tabular production data,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,"The search-rendered table labels gypsum as grams, but the numeric table context may require source-file confirmation."
verified_0014,Tomato,Fertilizer,Urea,450,kg/ha,fact,Technology-specific table; not universal,Bangladesh Agricultural Research Institute (BARI),Use of water-hyacinth mulch in potato and tomato production,https://baritechnology.org/m/crops/tech_detail/354,"প্রযুক্তির বিবরণ > উৎপাদন প্রযুক্তি / সারের নাম / সার প্রয়োগ পদ্ধতি, আন্তঃপরিচর্যা ও ফলন",,Official institutional webpage with tabular production data,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0015,Tomato,Fertilizer,TSP,250,kg/ha,fact,Technology-specific table; not universal,Bangladesh Agricultural Research Institute (BARI),Use of water-hyacinth mulch in potato and tomato production,https://baritechnology.org/m/crops/tech_detail/354,"প্রযুক্তির বিবরণ > উৎপাদন প্রযুক্তি / সারের নাম / সার প্রয়োগ পদ্ধতি, আন্তঃপরিচর্যা ও ফলন",,Official institutional webpage with tabular production data,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0016,Tomato,Fertilizer,MoP,250,kg/ha,fact,Technology-specific table; not universal,Bangladesh Agricultural Research Institute (BARI),Use of water-hyacinth mulch in potato and tomato production,https://baritechnology.org/m/crops/tech_detail/354,"প্রযুক্তির বিবরণ > উৎপাদন প্রযুক্তি / সারের নাম / সার প্রয়োগ পদ্ধতি, আন্তঃপরিচর্যা ও ফলন",,Official institutional webpage with tabular production data,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0017,Potato,Fertilizer timing,Application method,The source applies all listed fertilizers during land preparation.,,recommendation,,Bangladesh Agricultural Research Institute (BARI),Use of water-hyacinth mulch in potato and tomato production,https://baritechnology.org/m/crops/tech_detail/354,"প্রযুক্তির বিবরণ > উৎপাদন প্রযুক্তি / সারের নাম / সার প্রয়োগ পদ্ধতি, আন্তঃপরিচর্যা ও ফলন",,Official institutional webpage with tabular production data,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0018,Tomato,Fertilizer timing,Application method,Apply all TSP and half of MoP at final land preparation; apply remaining MoP and all urea in two equal splits at 15 and 30 days after planting.,,recommendation,,Bangladesh Agricultural Research Institute (BARI),Use of water-hyacinth mulch in potato and tomato production,https://baritechnology.org/m/crops/tech_detail/354,"প্রযুক্তির বিবরণ > উৎপাদন প্রযুক্তি / সারের নাম / সার প্রয়োগ পদ্ধতি, আন্তঃপরিচর্যা ও ফলন",,Official institutional webpage with tabular production data,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0019,Potato,Harvest,Harvest window,First week of March,,fact,,Bangladesh Agricultural Research Institute (BARI),Use of water-hyacinth mulch in potato and tomato production,https://baritechnology.org/m/crops/tech_detail/354,"প্রযুক্তির বিবরণ > উৎপাদন প্রযুক্তি / সারের নাম / সার প্রয়োগ পদ্ধতি, আন্তঃপরিচর্যা ও ফলন",,Official institutional webpage with tabular production data,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0020,Potato,Yield,Reported yield,26.5,tonne/ha,fact,Under the specified mulch-based technology,Bangladesh Agricultural Research Institute (BARI),Use of water-hyacinth mulch in potato and tomato production,https://baritechnology.org/m/crops/tech_detail/354,"প্রযুক্তির বিবরণ > উৎপাদন প্রযুক্তি / সারের নাম / সার প্রয়োগ পদ্ধতি, আন্তঃপরিচর্যা ও ফলন",,Official institutional webpage with tabular production data,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0021,Tomato,Harvest,Harvest window,Late February to first week of March,,fact,,Bangladesh Agricultural Research Institute (BARI),Use of water-hyacinth mulch in potato and tomato production,https://baritechnology.org/m/crops/tech_detail/354,"প্রযুক্তির বিবরণ > উৎপাদন প্রযুক্তি / সারের নাম / সার প্রয়োগ পদ্ধতি, আন্তঃপরিচর্যা ও ফলন",,Official institutional webpage with tabular production data,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0022,Tomato,Yield,Reported yield,67.5,tonne/ha,fact,Under the specified mulch-based technology,Bangladesh Agricultural Research Institute (BARI),Use of water-hyacinth mulch in potato and tomato production,https://baritechnology.org/m/crops/tech_detail/354,"প্রযুক্তির বিবরণ > উৎপাদন প্রযুক্তি / সারের নাম / সার প্রয়োগ পদ্ধতি, আন্তঃপরিচর্যা ও ফলন",,Official institutional webpage with tabular production data,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0023,Potato,Yield response,Reported yield increase with mulch,42.5,percent,fact,,Bangladesh Agricultural Research Institute (BARI),Use of water-hyacinth mulch in potato and tomato production,https://baritechnology.org/m/crops/tech_detail/354,"প্রযুক্তির বিবরণ > উৎপাদন প্রযুক্তি / সারের নাম / সার প্রয়োগ পদ্ধতি, আন্তঃপরিচর্যা ও ফলন",,Official institutional webpage with tabular production data,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0024,Tomato,Yield response,Reported yield increase with mulch,22,percent,fact,,Bangladesh Agricultural Research Institute (BARI),Use of water-hyacinth mulch in potato and tomato production,https://baritechnology.org/m/crops/tech_detail/354,"প্রযুক্তির বিবরণ > উৎপাদন প্রযুক্তি / সারের নাম / সার প্রয়োগ পদ্ধতি, আন্তঃপরিচর্যা ও ফলন",,Official institutional webpage with tabular production data,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0025,Potato and Tomato,Finance,Reported gross income,809860,BDT/ha,fact,Combined technology/cropping information reported by source,Bangladesh Agricultural Research Institute (BARI),Use of water-hyacinth mulch in potato and tomato production,https://baritechnology.org/m/crops/tech_detail/354,"প্রযুক্তির বিবরণ > উৎপাদন প্রযুক্তি / সারের নাম / সার প্রয়োগ পদ্ধতি, আন্তঃপরিচর্যা ও ফলন",,Official institutional webpage with tabular production data,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0026,Potato and Tomato,Finance,Reported production cost,160550,BDT/ha,fact,,Bangladesh Agricultural Research Institute (BARI),Use of water-hyacinth mulch in potato and tomato production,https://baritechnology.org/m/crops/tech_detail/354,"প্রযুক্তির বিবরণ > উৎপাদন প্রযুক্তি / সারের নাম / সার প্রয়োগ পদ্ধতি, আন্তঃপরিচর্যা ও ফলন",,Official institutional webpage with tabular production data,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0027,Potato and Tomato,Finance,Reported benefit-cost ratio,5.04,ratio,fact,,Bangladesh Agricultural Research Institute (BARI),Use of water-hyacinth mulch in potato and tomato production,https://baritechnology.org/m/crops/tech_detail/354,"প্রযুক্তির বিবরণ > উৎপাদন প্রযুক্তি / সারের নাম / সার প্রয়োগ পদ্ধতি, আন্তঃপরিচর্যা ও ফলন",,Official institutional webpage with tabular production data,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0028,Processing Potato,Irrigation,Seasonal water requirement range,160-180,mm/season,fact,,Bangladesh Agricultural Research Institute (BARI),Irrigation technology for processing potato production,https://m.baritechnology.org/crops/tech_detail/219,প্রযুক্তির বিবরণ,,Official institutional webpage,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0029,Processing Potato,Irrigation,Critical irrigation stage 1,Stolon stage,,fact,,Bangladesh Agricultural Research Institute (BARI),Irrigation technology for processing potato production,https://m.baritechnology.org/crops/tech_detail/219,প্রযুক্তির বিবরণ,,Official institutional webpage,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0030,Processing Potato,Irrigation,Critical irrigation stage 2,Tuber bulking stage,,fact,,Bangladesh Agricultural Research Institute (BARI),Irrigation technology for processing potato production,https://m.baritechnology.org/crops/tech_detail/219,প্রযুক্তির বিবরণ,,Official institutional webpage,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0031,BARI Alu-25,Yield,Reported yield range,33-35,tonne/ha,fact,,Bangladesh Agricultural Research Institute (BARI),Irrigation technology for processing potato production,https://m.baritechnology.org/crops/tech_detail/219,প্রযুক্তির বিবরণ,,Official institutional webpage,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0032,BARI Alu-25,Water productivity,Reported water productivity range,22-27,kg/m3,fact,,Bangladesh Agricultural Research Institute (BARI),Irrigation technology for processing potato production,https://m.baritechnology.org/crops/tech_detail/219,প্রযুক্তির বিবরণ,,Official institutional webpage,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0033,BARI Alu-25,Finance,Reported benefit-cost ratio range,2.7-3.6,ratio,fact,,Bangladesh Agricultural Research Institute (BARI),Irrigation technology for processing potato production,https://m.baritechnology.org/crops/tech_detail/219,প্রযুক্তির বিবরণ,,Official institutional webpage,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0034,BARI Alu-25,Finance,Reported net profit range,300000-400000,BDT/ha,fact,,Bangladesh Agricultural Research Institute (BARI),Irrigation technology for processing potato production,https://m.baritechnology.org/crops/tech_detail/219,প্রযুক্তির বিবরণ,,Official institutional webpage,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0035,BARI Alu-25,Processing use,Recommended processing use,French fries,,fact,,Bangladesh Agricultural Research Institute (BARI),Irrigation technology for processing potato production,https://m.baritechnology.org/crops/tech_detail/219,প্রযুক্তির বিবরণ,,Official institutional webpage,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0036,BARI Alu-28,Yield,Reported yield range,29-32,tonne/ha,fact,,Bangladesh Agricultural Research Institute (BARI),Irrigation technology for processing potato production,https://m.baritechnology.org/crops/tech_detail/219,প্রযুক্তির বিবরণ,,Official institutional webpage,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0037,BARI Alu-28,Irrigation,Reported water-use range,150-190,mm,fact,,Bangladesh Agricultural Research Institute (BARI),Irrigation technology for processing potato production,https://m.baritechnology.org/crops/tech_detail/219,প্রযুক্তির বিবরণ,,Official institutional webpage,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0038,BARI Alu-28,Water productivity,Reported water productivity range,19-26,kg/m3,fact,,Bangladesh Agricultural Research Institute (BARI),Irrigation technology for processing potato production,https://m.baritechnology.org/crops/tech_detail/219,প্রযুক্তির বিবরণ,,Official institutional webpage,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0039,BARI Alu-28,Finance,Reported benefit-cost ratio range,2.7-3.2,ratio,fact,,Bangladesh Agricultural Research Institute (BARI),Irrigation technology for processing potato production,https://m.baritechnology.org/crops/tech_detail/219,প্রযুক্তির বিবরণ,,Official institutional webpage,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0040,BARI Alu-28,Processing use,Recommended processing use,Potato chips,,fact,,Bangladesh Agricultural Research Institute (BARI),Irrigation technology for processing potato production,https://m.baritechnology.org/crops/tech_detail/219,প্রযুক্তির বিবরণ,,Official institutional webpage,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0041,Processing Potato,Quality,Reported dry-matter range,21-24,percent,fact,,Bangladesh Agricultural Research Institute (BARI),Irrigation technology for processing potato production,https://m.baritechnology.org/crops/tech_detail/219,প্রযুক্তির বিবরণ,,Official institutional webpage,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0042,Processing Potato,Quality,Reported starch range,15-17,percent,fact,,Bangladesh Agricultural Research Institute (BARI),Irrigation technology for processing potato production,https://m.baritechnology.org/crops/tech_detail/219,প্রযুক্তির বিবরণ,,Official institutional webpage,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0043,BARI Sarisha-18,Region,Target production environment,High Barind Tract and similar drought-prone areas,,fact,,Bangladesh Agricultural Research Institute (BARI),Production technology of BARI Sarisha-18 in High Barind Tract,https://m.baritechnology.org/crops/tech_detail/520,প্রযুক্তির বিবরণ > উৎপাদন প্রযুক্তি / বৈশিষ্ট্যসমূহ,,Official institutional webpage,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0044,BARI Sarisha-18,Land preparation,Tillage recommendation,3-4 cross-ploughings followed by laddering,,fact,,Bangladesh Agricultural Research Institute (BARI),Production technology of BARI Sarisha-18 in High Barind Tract,https://m.baritechnology.org/crops/tech_detail/520,প্রযুক্তির বিবরণ > উৎপাদন প্রযুক্তি / বৈশিষ্ট্যসমূহ,,Official institutional webpage,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0045,BARI Sarisha-18,Planting geometry,Row spacing,30,cm,fact,,Bangladesh Agricultural Research Institute (BARI),Production technology of BARI Sarisha-18 in High Barind Tract,https://m.baritechnology.org/crops/tech_detail/520,প্রযুক্তির বিবরণ > উৎপাদন প্রযুক্তি / বৈশিষ্ট্যসমূহ,,Official institutional webpage,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0046,BARI Sarisha-18,Crop calendar,Suitable sowing window,Last week of October to first week of November,,fact,,Bangladesh Agricultural Research Institute (BARI),Production technology of BARI Sarisha-18 in High Barind Tract,https://m.baritechnology.org/crops/tech_detail/520,প্রযুক্তির বিবরণ > উৎপাদন প্রযুক্তি / বৈশিষ্ট্যসমূহ,,Official institutional webpage,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0047,BARI Sarisha-18,Crop duration,Reported duration range,95-100,days,fact,,Bangladesh Agricultural Research Institute (BARI),Production technology of BARI Sarisha-18 in High Barind Tract,https://m.baritechnology.org/crops/tech_detail/520,প্রযুক্তির বিবরণ > উৎপাদন প্রযুক্তি / বৈশিষ্ট্যসমূহ,,Official institutional webpage,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0048,BARI Sarisha-18,Yield,Reported yield range,2.0-2.5,tonne/ha,fact,With appropriate fertilizer and irrigation,Bangladesh Agricultural Research Institute (BARI),Production technology of BARI Sarisha-18 in High Barind Tract,https://m.baritechnology.org/crops/tech_detail/520,প্রযুক্তির বিবরণ > উৎপাদন প্রযুক্তি / বৈশিষ্ট্যসমূহ,,Official institutional webpage,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0049,BARI Sarisha-18,Quality,Reported oil-content range,40-42,percent,fact,,Bangladesh Agricultural Research Institute (BARI),Production technology of BARI Sarisha-18 in High Barind Tract,https://m.baritechnology.org/crops/tech_detail/520,প্রযুক্তির বিবরণ > উৎপাদন প্রযুক্তি / বৈশিষ্ট্যসমূহ,,Official institutional webpage,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0050,BARI Sarisha-18,Plant morphology,Reported plant-height range,88-126,cm,fact,,Bangladesh Agricultural Research Institute (BARI),Production technology of BARI Sarisha-18 in High Barind Tract,https://m.baritechnology.org/crops/tech_detail/520,প্রযুক্তির বিবরণ > উৎপাদন প্রযুক্তি / বৈশিষ্ট্যসমূহ,,Official institutional webpage,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0051,BARI Sarisha-18,Variety trait,Canola characteristic,Reported as Bangladesh's first canola-character variety,,fact,,Bangladesh Agricultural Research Institute (BARI),Production technology of BARI Sarisha-18 in High Barind Tract,https://m.baritechnology.org/crops/tech_detail/520,প্রযুক্তির বিবরণ > উৎপাদন প্রযুক্তি / বৈশিষ্ট্যসমূহ,,Official institutional webpage,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0052,BARI Sarisha-18,Quality,Reported erucic-acid range,35-40,percent,fact,,Bangladesh Agricultural Research Institute (BARI),Production technology of BARI Sarisha-18 in High Barind Tract,https://m.baritechnology.org/crops/tech_detail/520,প্রযুক্তির বিবরণ > উৎপাদন প্রযুক্তি / বৈশিষ্ট্যসমূহ,,Official institutional webpage,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,Retained as reported by the official page; verify against the latest varietal descriptor before nutritional claims.
verified_0053,BARI Sweet Corn-1,Seed,Seed rate range,12-15,kg/ha,fact,,Bangladesh Agricultural Research Institute (BARI),Production technology of sweet corn,https://m.baritechnology.org/crops/tech_detail/331,প্রযুক্তির বিবরণ,,Official institutional webpage,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0054,Sweet Corn,Soil,Suitable soil,Well-drained sandy loam or loam,,fact,,Bangladesh Agricultural Research Institute (BARI),Production technology of sweet corn,https://m.baritechnology.org/crops/tech_detail/331,প্রযুক্তির বিবরণ,,Official institutional webpage,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0055,Sweet Corn,Season,Suitable seasons,Rabi and Kharif,,fact,,Bangladesh Agricultural Research Institute (BARI),Production technology of sweet corn,https://m.baritechnology.org/crops/tech_detail/331,প্রযুক্তির বিবরণ,,Official institutional webpage,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0056,Sweet Corn,Crop calendar,Rabi sowing window,Mid-October to 30 November,,fact,,Bangladesh Agricultural Research Institute (BARI),Production technology of sweet corn,https://m.baritechnology.org/crops/tech_detail/331,প্রযুক্তির বিবরণ,,Official institutional webpage,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0057,Sweet Corn,Crop calendar,Kharif sowing window,15 February to 30 March,,fact,,Bangladesh Agricultural Research Institute (BARI),Production technology of sweet corn,https://m.baritechnology.org/crops/tech_detail/331,প্রযুক্তির বিবরণ,,Official institutional webpage,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0058,Maize and Indian Spinach,Soil,Suitable soil,Loam soil rich in organic matter and nutrients,,fact,,Bangladesh Agricultural Research Institute (BARI),Intercropping maize with Indian spinach,https://m.baritechnology.org/crops/tech_detail/335,প্রযুক্তির বিবরণ,,Official institutional webpage,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0059,Maize and Indian Spinach,Crop calendar,Intercropping window,Last week of February to last week of March,,fact,,Bangladesh Agricultural Research Institute (BARI),Intercropping maize with Indian spinach,https://m.baritechnology.org/crops/tech_detail/335,প্রযুক্তির বিবরণ,,Official institutional webpage,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0060,Indian Spinach,Variety,Recommended variety,BARI Puishak-2,,fact,,Bangladesh Agricultural Research Institute (BARI),Intercropping maize with Indian spinach,https://m.baritechnology.org/crops/tech_detail/335,প্রযুক্তির বিবরণ,,Official institutional webpage,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0061,Maize,Variety,Recommended variety group,Any BARI-developed hybrid maize,,fact,,Bangladesh Agricultural Research Institute (BARI),Intercropping maize with Indian spinach,https://m.baritechnology.org/crops/tech_detail/335,প্রযুক্তির বিবরণ,,Official institutional webpage,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0062,Potato-Maize-T. Aman,Region,Suitable region,Dinajpur and areas similar to AEZ-1,,fact,,Bangladesh Agricultural Research Institute (BARI),Fertilizer recommendation for potato-maize-T. Aman cropping pattern in AEZ-1,https://m.baritechnology.org/crops/tech_detail/344,"প্রযুক্তির বিবরণ > উৎপাদন প্রযুক্তি / সারের নাম / সার প্রয়োগ পদ্ধতি, আন্তঃপরিচর্যা ও ফলন",,Official institutional webpage with tabular production data,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0063,Potato,Variety,Recommended variety,BARI Alu-7,,fact,,Bangladesh Agricultural Research Institute (BARI),Fertilizer recommendation for potato-maize-T. Aman cropping pattern in AEZ-1,https://m.baritechnology.org/crops/tech_detail/344,"প্রযুক্তির বিবরণ > উৎপাদন প্রযুক্তি / সারের নাম / সার প্রয়োগ পদ্ধতি, আন্তঃপরিচর্যা ও ফলন",,Official institutional webpage with tabular production data,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0064,Maize,Variety,Recommended variety,BARI Hybrid Maize-9,,fact,,Bangladesh Agricultural Research Institute (BARI),Fertilizer recommendation for potato-maize-T. Aman cropping pattern in AEZ-1,https://m.baritechnology.org/crops/tech_detail/344,"প্রযুক্তির বিবরণ > উৎপাদন প্রযুক্তি / সারের নাম / সার প্রয়োগ পদ্ধতি, আন্তঃপরিচর্যা ও ফলন",,Official institutional webpage with tabular production data,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
